"tech","HS.Code","Product.Process","Definition","HS.Code.Index","type","stage","filename","product"
"EVs (Beyond batteries)","870240","Electric Busses",NA,NA,"Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicles; public transport type (carries 10 or more persons, including driver), with only electric motor for propulsion, new or used"
"EVs (Beyond batteries)","870380","Passenger EV's",NA,NA,"Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicles; with only electric motor for propulsion"
"EVs (Beyond batteries)","870290","Buses","870290 -- Buses with a seating capacity of more than nine","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicles; public transport type (carries 10 or more persons, including driver), n.e.c. in heading 8702, new or used"
"EVs (Beyond batteries)","870390","Automobiles","870390","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicles; for transport of persons (other than those of heading no. 8702) n.e.c. in heading no. 8703"
"EVs (Beyond batteries)","851120","Magneto Generators","851120 -- Ignition magnetos, magneto-generators and magne","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Ignition or starting equipment; ignition magnetos, magneto-dynamos and magnetic flywheels, of a kind used for spark or compression-ignition internal combustion engines"
"EVs (Beyond batteries)","851150","Generator","851150 -- Generators and alternators","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Ignition or starting equipment; generators n.e.c. in heading no. 8511, of a kind used for spark or compression-ignition internal combustion engines"
"EVs (Beyond batteries)","850440","Power Converter","850440 -- Static converters, nes","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Electrical static converters"
"EVs (Beyond batteries)","850152","Permanent Magnet Synchronous Motor (PMSM)","850152 -- AC motors, multi-phase, of an output exceeding","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Electric motors; AC motors, multi-phase, of an output exceeding 750W but not exceeding 75kW"
"EVs (Beyond batteries)","850440","Traction Inverter","850440 -- Static converters, nes","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Electrical static converters"
"EVs (Beyond batteries)","870840","Transmission Gearbox","870840 -- Tansmissions for motor vehicles","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicle parts; gear boxes and parts thereof"
"EVs (Beyond batteries)","870899","Driveshaft","870899 -- Motor vehicle parts nes","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicle parts and accessories; n.e.c. in heading no. 8708"
"EVs (Beyond batteries)","846241","PMSM Production; Steel Sheet Punching","846241 -- Punching/notching mach including comb punch/she","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx",NA
"EVs (Beyond batteries)","846210","PMSM Production; Stator Core Stamping","846210 -- Forging or die-stamping mach (inc presses) and","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx",NA
"EVs (Beyond batteries)","846210","PMSM Production; Stator Core Pressing","846210 -- Forging or die-stamping mach (inc presses) and","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx",NA
"EVs (Beyond batteries)","851531","PMSM Production; Stator Core Welding","851531 -- Elec mach&app for arc (inc plasma arc) welding","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Welding machines and apparatus; for arc (including plasma arc) welding of metals, fully or partly automatic, whether or not capable of cutting"
"EVs (Beyond batteries)","847981","PMSM Production; Wire Winding","847981 -- Mach for treating mtl inc electric wire coil-wi","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Machines and mechanical appliances; for treating metal, including electric wire coil-winders"
"EVs (Beyond batteries)","846229","PMSM Production; Copper Lug Crimping","846229 -- Bending/folding/stgting or flattening mach (inc","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Machine-tools; bending, folding, straightening or flattening machines (including press brakes), for working metal, numerically controlled n.e.c. in item 84.62.2"
